"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL022578",31.6824425084828,25.6087663234045,1.66010820685855,15.425962125604,1.09510884830414e-53,1.4967947738621e-49
"IFIT1",296.619020718083,4.94635042174296,0.434992403673002,11.3711190815674,5.82361052495949e-30,3.97985543275731e-26
"XAF1",180.261158967645,3.54912353954843,0.336906535733431,10.5344455008038,5.99354517023538e-26,2.73065917955924e-22
"CXCL10",96.933868893295,6.87851564659552,0.671662237949421,10.2410337487419,1.29841544870504e-24,4.43668558822514e-21
"DDX58",100.924932963937,4.1669699203559,0.409202807704191,10.1831410779766,2.35823828421145e-24,6.44648017372042e-21
"GBP1",202.405119372238,3.92245234386632,0.387291672768108,10.1279026110507,4.15465284244371e-24,9.46429917508678e-21
"OAS3",260.505857663349,3.92955055869749,0.389810378731805,10.0806719705149,6.7264517683714e-24,1.31338775385858e-20
"IFIT2",420.814851089254,4.8440316265248,0.49099065525744,9.86583262767993,5.85466687774586e-23,1.00026983606288e-19
"IFIT3",298.144760711938,4.28609878586915,0.435352500170318,9.84512270905152,7.1951371808302e-23,1.09270149986208e-19
"SIGLEC1",16.7735387640528,5.43612783389323,0.559241916997782,9.72053000439662,2.46495091570206e-22,3.36909491158157e-19
"CD274",22.8351062618097,4.68794212593712,0.482853104544472,9.7088370807096,2.76473372900632e-22,3.4353073280053e-19
"CXCL11",33.5453485209415,7.53347148885818,0.786743831576344,9.57550753688642,1.01358240956292e-21,1.15447036449217e-18
"OAS2",207.021819509191,3.50434434635884,0.389466194286353,8.99781392523711,2.30256653287607e-19,2.42088302856539e-16
"SYNPO2L",36.8841076808453,6.94097089287497,0.774173967312895,8.96564749776669,3.08463136552846e-19,3.01148153600307e-16
"IFI44L",204.347239095073,3.95579151401282,0.442729521141586,8.93500732413944,4.07151240755523e-19,3.70996210576433e-16
"WARS1",192.215621846392,2.76214196012715,0.31030713017401,8.90131644277149,5.51881700639624e-19,4.71444942771399e-16
"ZNFX1",139.519171796873,2.30676209710398,0.264440957970225,8.72316495451403,2.70531727438892e-18,2.17507508860869e-15
"CMPK2",56.8120945769632,3.74083080917941,0.433365775205639,8.63204023761296,6.02671742573732e-18,4.57628743194321e-15
"OPRM1",57.0902070721996,5.62055062665113,0.652608618343638,8.6124370237654,7.15235896265729e-18,5.14518117376841e-15
"RPS3A",258.851888725701,-2.8089105222266,0.326620039787722,-8.59993319470594,7.97625150487148e-18,5.45097027842917e-15
"DDX60",58.6339482283017,3.49481311342807,0.4079507292089,8.5667529512822,1.06443920321049e-17,6.92797858546715e-15
"MX1",192.206701487322,2.91786491353149,0.347359467410842,8.40013066372064,4.45982107225649e-17,2.77076520070917e-14
"PCSK5",922.550181129158,4.42189443116722,0.529994475240583,8.34328401095118,7.22553515904369e-17,4.29385280668736e-14
"APOL2",29.3418542355089,3.1469922068925,0.379948319028098,8.28268490552205,1.20428761662172e-16,6.85841797666068e-14
"SAMD9",233.823478842404,3.18243695859286,0.388112865056082,8.19977188370964,2.40843616365393e-16,1.31674021939288e-13
"MX2",166.752066026626,3.46026984041162,0.423338497394898,8.17376605648933,2.98909153648423e-16,1.57134242771794e-13
"DDX60L",212.339434616581,4.25512193307952,0.522906582054999,8.13744190474155,4.03717003365241e-16,2.04370518592449e-13
"RSAD2",204.590208936283,4.34458556734367,0.53463839682345,8.12621314360695,4.42909925237681e-16,2.16203316362451e-13
"CD68",37.8882111512926,3.05916565684786,0.377031069315698,8.11382908681815,4.90491157226644e-16,2.31173556447371e-13
"PARP14",245.391595005096,2.78228794950823,0.34351908563597,8.09936933884555,5.52448254462565e-16,2.51695424733145e-13
"IFI44",65.8527373939726,3.65897817349195,0.452483451095734,8.0864353483677,6.14363048227363e-16,2.70874649779729e-13
"IFIT5",32.8891758286484,3.66639857946456,0.46111016664029,7.95124212111486,1.84650659020148e-15,7.88689127339808e-13
"PLA2G7",99.5917799683288,6.5792000944619,0.833373697112555,7.89465772348863,2.91113037838687e-15,1.2057372730846e-12
"CXCL9",37.1417375650591,4.15921682791646,0.530973768387302,7.8331870151496,4.75655979393692e-15,1.91213703716264e-12
"DTX3L",116.269644144694,2.42164384790825,0.310765274264548,7.79251753156551,6.56870532411829e-15,2.56517326771568e-12
"HERC6",52.4599005737711,2.90871199906499,0.375001254806353,7.75653937629361,8.72782193243628e-15,3.31366306034831e-12
"RPL13A",417.738530826166,-3.15558683440043,0.407021396291506,-7.75287703091761,8.98336020279829e-15,3.31850181761749e-12
"IFI16",159.005998484728,2.38233964378716,0.308246708112029,7.72867829920612,1.08668902251262e-14,3.90864883150066e-12
"TIAM2",34.6715252605671,5.4821934420121,0.710184950993214,7.71938835699785,1.16889251477119e-14,4.09651869022887e-12
"CASP17P",706.948557613807,8.24496221280634,1.07009089320909,7.70491765244408,1.30927691212411e-14,4.4737992087281e-12
"GBP4",71.9213302079363,2.85732115472598,0.37205856331375,7.6797618344735,1.59384629695822e-14,5.31333931385974e-12
"EIF2AK2",129.16054098587,2.37905585113609,0.312931207705299,7.60248831869959,2.90490206556052e-14,9.45338129335266e-12
"USP18",23.2870173915361,3.341846919994,0.456234114013897,7.32485103008366,2.39164238807161e-13,7.6020856186425e-11
"DGKA",181.786044163202,4.53094434422621,0.619933817424886,7.30875492975539,2.69629008583682e-13,8.18953175404835e-11
"EPSTI1",53.0044089911319,3.33599737101862,0.456276662961569,7.3113477892241,2.64476002131718e-13,8.18953175404835e-11
"PARP9",120.858792183554,2.66190980841424,0.364593565981216,7.30103341579918,2.85565807835154e-13,8.48502926411062e-11
"HERC5",41.9715305621496,3.8392369637352,0.530841256845084,7.23236356298436,4.74659423781237e-13,1.38035000090254e-10
"CD163",26.7570635080882,3.62633773743895,0.501980705126352,7.22405801738171,5.04587135913695e-13,1.43681186951425e-10
"OASL",32.3445031006412,4.16923105410038,0.577690334266208,7.21706908840047,5.31199931758303e-13,1.48172258515765e-10
"PBX1",323.968097696232,3.89829757973996,0.542900209742885,7.18050483271351,6.94544744783164e-13,1.89860751433926e-10
"CKB",23.4777559635804,-3.24321829374645,0.454841952243046,-7.13042910345575,1.00056502703562e-12,2.68151427245546e-10
"SERPING1",25.8359904728865,3.1229562965155,0.438275928724339,7.12554829466745,1.03667173616834e-12,2.72485178652863e-10
"ALOX15P1",40.5715424102688,6.04857236000321,0.850393169454407,7.11267749702626,1.1381301952476e-12,2.93508745446118e-10
"TRIM22",146.453894402446,2.66678269725862,0.375759574043609,7.09704524241644,1.274523456817e-12,3.22596048292125e-10
"CCN5",57.7628032598695,7.40412648673243,1.04419835060848,7.09072800432775,1.3340832160736e-12,3.31531807223526e-10
"GBP5",157.867445451325,3.34575349084785,0.472765389075212,7.07698483891252,1.47324643929057e-12,3.59577363075419e-10
"STAT1",226.975311279795,2.06183531297055,0.292981827013454,7.0374170780083,1.95836006348074e-12,4.69594128906224e-10
"TNFSF13B",30.730565301608,3.58212771932295,0.510489506000188,7.01704477216351,2.26610012102397e-12,5.34018214726821e-10
"RPLP1",211.111030875017,-3.8093251181899,0.543367021888804,-7.01059314374336,2.37309893224318e-12,5.49754511964403e-10
"RPL26",134.008912185087,-2.58092946995025,0.368677974652555,-7.0004981240947,2.55054048708928e-12,5.81013122958938e-10
"OSR1",22.3682728007038,7.27208918603161,1.0417308514241,6.9807754815846,2.93555127595148e-12,6.57755980978767e-10
"SAMD9L",154.669815450814,3.10128185174927,0.44440627003616,6.97848356526771,2.98383112896588e-12,6.57790385011382e-10
"UBE2L6",41.5518117716814,2.77689115386524,0.398472787950583,6.96883510702774,3.19575993120138e-12,6.93327726026357e-10
"XRN1",95.7033036418242,2.39009237867221,0.345411694978387,6.91954677105464,4.53090881199564e-12,9.6763221316182e-10
"H4C8",10.0122012591535,3.62673788348368,0.528034131725069,6.86837775360328,6.49360839740088e-12,1.36545599347193e-09
"IFITM3",142.342192855918,2.82152813916927,0.413825795703245,6.81815432596327,9.22175518960009e-12,1.90974166562809e-09
"RPS8",212.057928466428,-2.91046053514722,0.427241294363151,-6.81221729628353,9.61057912904744e-12,1.96055814232568e-09
"RPL13",218.137220081976,-2.81178718072407,0.412935978246925,-6.80925695227915,9.81041207100446e-12,1.9718928262719e-09
"APOA2",10.3416829537363,6.48727687990714,0.961396411163879,6.74776481852429,1.5014004435205e-11,2.9315916088626e-09
"RNF213",551.136519546166,2.63746632818907,0.390763154975697,6.74952664959699,1.483282651139e-11,2.9315916088626e-09
"IGFBP2",36.7459423927702,-3.60699417100826,0.536429103617055,-6.7240836611714,1.76700890189521e-11,3.40161657339488e-09
"OAS1",82.7682653040199,2.63918343069674,0.392709999447667,6.72043857912623,1.81178393663932e-11,3.43936983972031e-09
"APOL6",133.921784968856,1.97669268581115,0.294294016186768,6.71672741234629,1.85851165773262e-11,3.47974484080678e-09
"SBK1",22.1227995534716,3.50041483515315,0.523195301688145,6.69045540710837,2.22477147559499e-11,4.10921304438275e-09
"TRIM38",66.6936696937834,2.62575203265676,0.392980242489108,6.68163879187778,2.36284845367514e-11,4.30605502197757e-09
"HELB",35.3034696839511,2.77471587569703,0.433278203972648,6.40400521017712,1.51352942950533e-10,2.72196318979984e-08
"RPS18",215.052153071573,-2.5835749524829,0.407100025152548,-6.34629032880749,2.205688071676e-10,3.86504417482917e-08
"SEMA6D",20.1804918436878,6.11091761974763,0.962651579112866,6.34800560487229,2.18124138297422e-10,3.86504417482917e-08
"ELF1",77.5154518784224,2.30202155773579,0.363397996383143,6.33471175033309,2.37785397028188e-10,4.1139883627611e-08
"LRCH4",58.0615655009015,3.34492942329855,0.528460717736101,6.32957060200815,2.45844385647784e-10,4.20025132879239e-08
"TOMM7",17.7847284437338,-3.22103222612256,0.509306673151338,-6.32434718789841,2.54305371162234e-10,4.29116767042643e-08
"IFITM1",97.1339847094269,2.64122649783221,0.417821306552014,6.32142606519613,2.59160369338932e-10,4.31976088795673e-08
"GCHFR",4.38969719433149,-4.99077824512644,0.79356372787858,-6.28907051796357,3.19372379809893e-10,5.25925504486942e-08
"RPL3",241.637842149249,-2.05263892352201,0.326532935384502,-6.28616197966361,3.25410421122005e-10,5.29489242368519e-08
"SP100",161.417191218885,2.00764274025769,0.319822965684838,6.27735639921517,3.4437807579243e-10,5.53759945874228e-08
"PRDX5",80.9300214571683,-2.55758444370035,0.408039491650143,-6.26798262432217,3.65755584085554e-10,5.81296200381552e-08
"TXNIP",340.849525312347,1.56233591991252,0.249633380312446,6.25852166868496,3.88643903842782e-10,6.10572974450936e-08
"APOBR",12.2891391743383,4.16863000069146,0.668059563246166,6.23990768193735,4.37829214437602e-10,6.80028375333311e-08
"IGFBP7",101.454950768687,-3.27026190668727,0.531717874775243,-6.15037045363504,7.73021763496046e-10,1.18715297342292e-07
"PIGR",281.767507495248,-1.73864085366017,0.283189785364198,-6.13948999404826,8.27868383206215e-10,1.25725611796251e-07
"SMCHD1",256.008282575173,2.66621751632039,0.435823279880539,6.11765740703711,9.49609443660465e-10,1.4262925138408e-07
"PML",52.7991616700381,2.05287075691645,0.336307070847237,6.10415579947453,1.03345441492432e-09,1.51884461754685e-07
"TRIM5",22.836776174716,2.89951640758689,0.474902971358696,6.10549224253405,1.02484332695812e-09,1.51884461754685e-07
"S100A6",93.3705215689459,-2.72787485269624,0.447793229206506,-6.09181799718155,1.11635563509097e-09,1.62322859791738e-07
"EEF2",255.118746203112,-2.15241835087056,0.358046803954611,-6.01155582761021,1.83751209697564e-09,2.64369635173295e-07
"N4BP1",39.4273181872389,2.03429609591198,0.33850081081708,6.00972296344445,1.85840618587103e-09,2.64590580713387e-07
"SLAMF7",58.6982962314672,3.19362167406555,0.532133886467293,6.00153787473906,1.95457335822732e-09,2.75413491342794e-07
"RPLP0",313.427653281631,-2.21507957001496,0.369231425147515,-5.99916317829664,1.9833697215066e-09,2.76619360750533e-07
"RPL21",151.015247408183,-1.86518977688156,0.311606924794506,-5.98571350142999,2.15443308599995e-09,2.97442337570176e-07
"PLIN2",24.3761165006638,3.39448266591162,0.567289585146505,5.98368585426256,2.18143860956679e-09,2.98159029155589e-07
"APOL3",19.6885513649722,2.84261183279015,0.476095888809063,5.97067082410824,2.36280041763415e-09,3.1975006047746e-07
"CASP4",93.5645303380929,1.9169562317932,0.322259410674639,5.94848798295794,2.70630752576566e-09,3.62645208452598e-07
"ATP5F1E",32.544499295575,-2.91161781597643,0.489969231268291,-5.94245032170628,2.80792765741858e-09,3.72609273996089e-07
"RPL15",250.064592675973,-1.7572256250807,0.295928792516027,-5.93800153793934,2.88517337340546e-09,3.79178362189479e-07
"HAVCR2",9.16787002213393,3.6699805675073,0.621650558556134,5.90360696535256,3.5563885458144e-09,4.62940177563726e-07
"MS4A7",12.1894100709495,3.31089395153337,0.563278738563657,5.8778961903942,4.15513343332497e-09,5.35777016666847e-07
"PLSCR1",53.0605061036054,2.10184645722736,0.357790395548359,5.87451894566934,4.24072980836506e-09,5.41703691782558e-07
