"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL022578",31.6824425084828,0.649070042989599,1.36075231611767,14.0708014491707,5.74150119142409e-45,7.62413943209205e-41
"IFIT1",296.619020718083,4.85010507702654,0.451791720045802,11.1212076887777,9.89237433421481e-29,6.56804193920192e-25
"XAF1",180.261158967645,3.53924335226367,0.345439519121036,10.3508010525791,4.14998850302295e-25,1.83692324438806e-21
"CXCL10",96.933868893295,6.99589382600111,0.732881357108888,10.1229004143639,4.37262252455793e-24,1.45160136259012e-20
"OAS3",260.505857663349,3.9080631169809,0.401089849921713,9.97456813921107,1.96956388475144e-23,5.23076776512287e-20
"DDX58",100.924932963937,4.06228295788425,0.433478483172172,9.77950193700306,1.37887401097862e-22,3.05167799863085e-19
"IFIT3",298.144760711938,4.21003084362646,0.454446377030816,9.47002576445705,2.7977467912384e-21,5.30732566297924e-18
"GBP1",202.405119372238,3.80992077308892,0.432691773481585,9.39275736422259,5.84496733167124e-21,9.7019151496578e-18
"IFIT2",420.814851089254,4.75095212796521,0.542203897441661,9.37541084183378,6.89068814610145e-21,1.01668275435646e-17
"SIGLEC1",16.7735387640528,5.35151179275868,0.628978119345127,9.2387728256384,2.49340391913079e-20,3.31099106421378e-17
"CXCL11",33.5453485209415,7.75155332455718,0.92823995451167,9.08903973491667,9.99176019501136e-20,1.20618712390505e-16
"OAS2",207.021819509191,3.51230349553743,0.407576216370011,8.84952423736329,8.7893174249889e-19,9.25268302288229e-16
"ZNFX1",139.519171796873,2.37029699734693,0.279066721671362,8.8461594751414,9.05827843192031e-19,9.25268302288229e-16
"PCSK5",922.550181129158,4.41554497632495,0.51270206782006,8.70620696173608,3.14212877917689e-18,2.98030914704928e-15
"CD274",22.8351062618097,4.3485506049323,0.54365170668909,8.68210775968746,3.88501076031096e-18,3.43927052574462e-15
"IFI44L",204.347239095073,3.920375716635,0.468722401779876,8.59403637127557,8.39664286068925e-18,6.96868878419329e-15
"WARS1",192.215621846392,2.71094140342667,0.31946758455589,8.58031367415917,9.46147743983333e-18,7.39052699550275e-15
"CD68",37.8882111512926,3.17215019331137,0.414192385440129,8.42474667082357,3.61531592243272e-17,2.66709889633245e-14
"OPRM1",57.0902070721996,4.97732894459804,0.719423610082266,8.35984009415618,6.28033235474475e-17,4.38929122835029e-14
"CMPK2",56.8120945769632,3.69777222185855,0.453029213836841,8.31263687866324,9.35985920823354e-17,6.21447852130666e-14
"DDX60",58.6339482283017,3.42906691869787,0.457585235779963,8.19426535931159,2.52128286392258e-16,1.59429119762038e-13
"SYNPO2L",36.8841076808453,5.99610316493211,0.970284904705352,8.09542079735993,5.7066734197256e-16,3.4444961972971e-13
"IFI44",65.8527373939726,3.58076902223153,0.474607560482239,7.93885805483618,2.04051125626882e-15,1.17808473791277e-12
"MX1",192.206701487322,2.842970975774,0.37142187723344,7.91225559531526,2.5276676576833e-15,1.39853745109902e-12
"PLA2G7",99.5917799683288,5.93154338767254,0.839140372094759,7.89939093346603,2.80269555197645e-15,1.47009910382359e-12
"RPL13A",417.738530826166,-3.28759309078999,0.445602314965926,-7.89606687651629,2.87842282546978e-15,1.47009910382359e-12
"SAMD9",233.823478842404,3.08176196451962,0.410207274987567,7.8647565037152,3.69816078757553e-15,1.81881026289687e-12
"EIF2AK2",129.16054098587,2.43031606173285,0.323540501982201,7.84498220739256,4.3301487863937e-15,2.05357306194721e-12
"RPS3A",258.851888725701,-2.57747299663434,0.363480655336682,-7.81623837450881,5.44252645645952e-15,2.49211409708021e-12
"DTX3L",116.269644144694,2.43821980900125,0.322345475440039,7.80151677281519,6.11674751416031e-15,2.70747634135116e-12
"MX2",166.752066026626,3.36476483071033,0.449034915752686,7.79183406424859,6.60434316183577e-15,2.82900234987152e-12
"DDX60L",212.339434616581,4.12089000883686,0.559084718504973,7.71920202275163,1.1706024025202e-14,4.71043312214112e-12
"IFIT5",32.8891758286484,3.60178728065575,0.49252853299939,7.72025647500812,1.16095861170172e-14,4.71043312214112e-12
"APOL2",29.3418542355089,2.99942163864109,0.42533288293486,7.65305250736633,1.96263725526679e-14,7.44624574648219e-12
"RSAD2",204.590208936283,4.198202190086,0.589468793014037,7.65441872881572,1.94188574900757e-14,7.44624574648219e-12
"CASP17P",706.948557613807,7.38206315998484,1.09622944828626,7.46465241211215,8.35197896767035e-14,3.08072024199152e-11
"IFI16",159.005998484728,2.29709986610151,0.32148095181801,7.4406505397281,1.00190668725452e-13,3.59576186487914e-11
"PARP14",245.391595005096,2.58521715926501,0.369694709111244,7.42873051981305,1.09644865606212e-13,3.83151097469707e-11
"HERC6",52.4599005737711,2.79405824500366,0.394462651819989,7.35501573317931,1.90904630510984e-13,6.50005791937271e-11
"CXCL9",37.1417375650591,3.86180395297062,0.555210058599758,7.29335576817302,3.02328351158256e-13,1.00365454375762e-10
"IGFBP2",36.7459423927702,-3.84818254251972,0.61540409776273,-7.2444015267422,4.3435285589032e-13,1.3732789460399e-10
"TNFSF13B",30.730565301608,3.56347232476805,0.508186208072322,7.24636323508953,4.28111042192044e-13,1.3732789460399e-10
"GBP4",71.9213302079363,2.79085527755635,0.401736204415541,7.23839858195251,4.54013517526422e-13,1.40205709284497e-10
"USP18",23.2870173915361,3.32336321244092,0.490838870664993,7.19087282683001,6.4378426303401e-13,1.9429116429156e-10
"RPLP1",211.111030875017,-3.91782518486247,0.68489039379316,-7.17820639328858,7.06318792478161e-13,2.08426827673722e-10
"PARP9",120.858792183554,2.58682974326417,0.370584897923651,7.15311900859115,8.48279997106907e-13,2.44876306121361e-10
"OASL",32.3445031006412,4.09991936130525,0.615866879826534,7.11890866361929,1.08784965897338e-12,3.07352247266116e-10
"CD163",26.7570635080882,3.65565022697215,0.54968822497131,7.07524207555947,1.49188098456385e-12,4.1272265820882e-10
"SAMD9L",154.669815450814,3.14395920240814,0.49017645965078,7.04981840604709,1.79151437378445e-12,4.85500395295585e-10
"UBE2L6",41.5518117716814,2.8257645107469,0.442207382062045,6.95970056962984,3.40996722051725e-12,9.05619094424971e-10
