"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunkenLog2FoldChange"
"CXCL10",197.054056733712,6.53525442099198,0.393155521355443,16.6225680831368,4.78387710389831e-62,8.03021610660371e-58,6.50340661223109
"RPLP1",115.56722038073,-4.8951542117814,0.298357779049567,-16.4069937354245,1.70438415673866e-60,1.43048962275076e-56,-4.85822777902336
"RPL13A",260.607482803569,-3.7802582166921,0.246611455793549,-15.3288021617972,4.90956674958506e-53,2.74706624861783e-49,-3.74905061352899
"IFIT1",465.022146166894,4.07645289802564,0.267796639210334,15.2221958798516,2.51931016765074e-52,1.05722851185463e-48,4.0428322687463
"RPS18",170.404139046105,-3.39885421207773,0.233332494517406,-14.5665704174958,4.58329627836087e-48,1.53870422657131e-44,-3.36847885491506
"RPS3A",211.908744187447,-3.19616638806575,0.221494833482327,-14.4299816741358,3.35170169217223e-47,9.3769441008005e-44,-3.16589296330652
"RPS8",149.587954762892,-3.52408194197144,0.24663873368112,-14.2884367324385,2.58343692058461e-46,6.19508173556189e-43,-3.49005278493208
"CXCL11",68.5619399955789,7.09790526440317,0.499457963380575,14.2112165283362,7.80576144127263e-46,1.63784389441503e-42,5.71627440331631
"IFIT2",585.751666346044,4.08809539639644,0.291718348354331,14.0138438992905,1.28270087627914e-44,2.39237965658019e-41,4.09175810398418
"RPL13",165.908694491595,-3.48532408074322,0.25330791905261,-13.7592385337915,4.48222907656377e-43,7.52386972791994e-40,-3.44979099781722
"PLA2G7",155.016343169766,5.83000003007785,0.42430774354909,13.7400274181029,5.84536523038503e-43,8.92002734156755e-40,5.7718507785808
"PRDX5",56.933444480976,-3.57765141575114,0.262929628423236,-13.6068781491305,3.64483321697619e-42,5.09851419834687e-39,-3.54167165742023
"S100A6",64.0481336232905,-3.37832511432462,0.249617709914051,-13.5339961074391,9.85191279437532e-42,1.27210929358757e-38,-3.34374380255565
"IFIT3",451.254159050109,3.50340467199902,0.261837444416402,13.3800751065517,7.90674371256802e-41,9.48018571136906e-38,3.49419159254531
"IFI44L",371.501756843228,3.3760714962691,0.254413784951496,13.2700022402982,3.45570418776973e-40,3.86716336639352e-37,3.3400767948641
"OAS3",487.870890148328,3.32553501495806,0.251847307043672,13.2045684903091,8.25715212325004e-40,8.6627847213047e-37,3.32399724753787
"PCSK5",1149.72370478738,3.62745794400089,0.276551028762023,13.1167761705286,2.63925464468008e-39,2.60603108621176e-36,3.67520715019887
"RPLP2",44.9990226380144,-3.69803460797844,0.28668470787155,-12.8993089147795,4.54151671833361e-38,4.23521664633045e-35,-3.65682985501634
