"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","84/1653","208/18860",0.403846153846154,4.60770626832333,16.2159842087807,2.33795386010859e-35,1.34549244649249e-31,1.1473200942975e-31,"RPS3A/RPL13A/RPLP1/RPL26/RPS8/RPL13/RPS18/RPL3/EEF2/RPLP0/RPL21/RPL15/RPL10A/RPLP2/RPL32/RPS17/RPS15/RPL30/RPL35/RPS21/RPL37/RPS5/RPL4/RPL34/RPS15A/RPS28/RPL18A/RPL10/RPL8/RPS7/RPS14/RPL17/RPL27/RPL39/RPL7A/RPL7/RPS19/RPL41/RPS27/RPS24/RPL31/RPL36A/RPL38/RPL37A/RPS29/RPL23A/RPL9/RPS2/RPS12/RPL19/RPL6/RPS13/RPS20/RPL27A/GTPBP1/RPS10/RPL36/EIF4H/RPL18/RPS6/FAU/RPL24/RPL12/RACK1/RPSA/RPS16/EEF1D/RPL23/AKT1/RPS9/RPL26L1/RPS25/EIF3L/RPS27A/RPS23/RBM24/UBR4/UBA52/HNRNPU/RPL22L1/RPL28/SLBP/PLXNB2/RPS3",84
"GO:0009615","response to virus","110/1653","445/18860",0.247191011235955,2.82034027338785,12.0445311500318,2.97730476608947e-24,8.56719446442245e-21,7.30536569447848e-21,"IFIT1/CXCL10/GBP1/OAS3/IFIT2/IFIT3/OAS2/IFI44L/ZNFX1/DDX60/MX1/MX2/DDX60L/RSAD2/IFI44/IFIT5/CXCL9/DTX3L/IFI16/EIF2AK2/USP18/PARP9/HERC5/OASL/TRIM22/GBP5/STAT1/IFITM3/OAS1/TRIM38/IFITM1/PML/TRIM5/PLSCR1/IFI6/IRF7/TRIM21/RPS15A/TPT1/TLR8/GBP2/IVNS1ABP/CLU/MICA/CASP1/NT5C3A/AIM2/ABCC9/RTP4/MICB/IRF1/CCL4/ATG12/LILRB1/APOBEC3F/ZC3HAV1/ITGAX/TLR2/BPIFA1/ISG20/IRF9/CCL22/ATG7/POU2F2/PTPRC/STAT2/EEF1G/MOV10/RPSA/MLKL/LYST/TLR3/NMI/NLRP3/IRF2/TRIM25/ZDHHC1/CCL8/TRIM34/TRIM6/PRF1/HIF1A/USP27X/NLRC5/TRIM28/LGALS9/JAK2/UNC93B1/SPN/ELMOD2/CARD8/CCL5/WDFY4/PPM1B/PLA2G10/CXCR4/SELENOK/EPG5/APOBEC3A/ERCC6/MAPK14/CD37/TNFAIP3/TANK/DDX21/PHB2/ISG15/DNAJC3/NLRP1/TGFB1",110
"GO:0051607","defense response to virus","90/1653","334/18860",0.269461077844311,3.07443189845355,11.8556334434823,8.52576687837861e-23,1.6355262795023e-19,1.39463597147372e-19,"IFIT1/CXCL10/GBP1/OAS3/IFIT2/IFIT3/OAS2/IFI44L/ZNFX1/DDX60/MX1/MX2/DDX60L/RSAD2/IFIT5/CXCL9/DTX3L/IFI16/EIF2AK2/USP18/PARP9/HERC5/OASL/TRIM22/GBP5/STAT1/IFITM3/OAS1/TRIM38/IFITM1/PML/TRIM5/PLSCR1/IFI6/IRF7/TRIM21/TLR8/GBP2/MICA/CASP1/NT5C3A/AIM2/ABCC9/RTP4/MICB/IRF1/ATG12/LILRB1/APOBEC3F/ZC3HAV1/ITGAX/TLR2/BPIFA1/ISG20/IRF9/ATG7/PTPRC/STAT2/MOV10/RPSA/MLKL/LYST/TLR3/IRF2/TRIM25/ZDHHC1/TRIM34/TRIM6/PRF1/USP27X/NLRC5/TRIM28/UNC93B1/SPN/ELMOD2/CARD8/PPM1B/PLA2G10/SELENOK/EPG5/APOBEC3A/ERCC6/CD37/TNFAIP3/TANK/DDX21/PHB2/ISG15/DNAJC3/NLRP1",90
"GO:0045071","negative regulation of viral genome replication","26/1653","50/18860",0.52,5.9329703569268,10.8253585035728,4.10226409469763e-15,5.90213246624621e-12,5.0328303182843e-12,"IFIT1/OAS3/OAS2/ZNFX1/MX1/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/IFITM3/OAS1/IFITM1/N4BP1/PLSCR1/SLPI/APOBEC3F/ZC3HAV1/ISG20/TRIM6/TRIM28/CCL5/PROX1/APOBEC3A/TNIP1/ISG15",26
"GO:0048525","negative regulation of viral process","30/1653","76/18860",0.394736842105263,4.50377304422581,9.48619179611851,3.55073489814269e-13,4.08689586776224e-10,3.484952862135e-10,"IFIT1/OAS3/OAS2/ZNFX1/MX1/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/STAT1/IFITM3/OAS1/IFITM1/SP100/N4BP1/PLSCR1/SLPI/TRIM21/APOBEC3F/ZC3HAV1/ISG20/PPIA/TRIM6/TRIM28/CCL5/PROX1/APOBEC3A/TNIP1/ISG15",30
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","79/1653","385/18860",0.205194805194805,2.34118210887721,8.24079423408892,5.52028846406365e-13,5.29487668511439e-10,4.51501488060785e-10,"GBP1/OAS1/ELF1/PIGR/PLSCR1/CLEC4E/CMKLR1/C3AR1/LILRB4/CREBBP/IGHA2/LCP2/PRAM1/FYB1/BTN3A1/EZR/PIK3AP1/CLEC7A/MICB/FCGR3A/LILRB1/NFAM1/IGHG1/FCER1G/TLR2/TLR1/NR4A3/WDFY1/LGALS3/FPR3/EP300/MNDA/ICOSLG/PTPRC/TLR6/FFAR2/CEACAM1/CD81/NFKBID/AKT1/KLRD1/PRKCH/NMI/SLA2/ECSIT/IFI35/IGHG2/CD226/IRAK2/CD53/BTN3A3/TRAC/PDE4B/PRKCQ/NFKBIZ/TRGC1/PHPT1/THEMIS2/THEMIS/FPR1/UBASH3A/FYN/BTN2A2/INPP5D/APPL2/FCGR2A/FCGR1A/LYN/TNFAIP3/FOSL2/MAP2K4/IGKC/FCGR3B/SIVA1/RPS3/FPR2/STAP1/HHLA2/NCKAP1L",79
"GO:0045089","positive regulation of innate immune response","85/1653","432/18860",0.196759259259259,2.24493625506935,8.11321647662885,8.1055054348587e-13,5.8348923538789e-10,4.97549374068927e-10,"OAS3/CD274/ZNFX1/DDX60/RSAD2/IFI16/EIF2AK2/PARP9/OASL/GBP5/OAS1/LRCH4/TRIM5/CASP4/HAVCR2/PLSCR1/CLEC4E/IRF7/CREBBP/TLR8/GBP2/CASP1/RPS19/PIK3AP1/AIM2/CLEC7A/IRF1/ZC3HAV1/TLR2/TLR1/WDFY1/EP300/MNDA/USP15/CD300LF/NAIP/P2RX7/TLR6/FFAR2/AKT1/MEFV/KLRD1/STAT5A/TLR3/NMI/NOP53/NLRP3/TRIM25/ZDHHC1/ECSIT/TRAF3IP3/TRIM6/USP27X/PYHIN1/NLRC5/IFI35/RICTOR/TKFC/CD226/IRAK2/UNC93B1/TREML4/CARD8/CCL5/NFKBIZ/MED1/NOD1/KCNK6/TRIM3/FYN/ABHD17A/APPL2/EPG5/BIRC3/RASGRP4/TNIP1/MAPK14/LYN/TNFAIP3/SPI1/NOD2/PHB2/NLRP1/FPR2/BIRC2",85
"GO:0071887","leukocyte apoptotic process","39/1653","125/18860",0.312,3.55978221415608,8.89967920854409,8.11105800712966e-13,5.8348923538789e-10,4.97549374068927e-10,"CD274/IDO1/IRF7/DOCK8/LILRB1/EFNA1/PLEKHO2/FCER1G/NR4A3/LGALS3/FASLG/CCR5/IL2RA/P2RX7/AKT1/HSH2D/STAT5A/PERP/HCAR2/ORMDL3/HIF1A/HCLS1/MIF/LGALS9/FAS/JAK3/SELENOS/CASP7/GLI3/CCL5/PRKCQ/NFKBIZ/CTSL/SLC7A11/LYN/GIMAP8/NOD2/SIVA1/BCL6",39
"GO:0002833","positive regulation of response to biotic stimulus","88/1653","465/18860",0.189247311827957,2.15922825231414,7.84492353993026,3.01953260552518e-12,1.93082334942193e-09,1.64643988385478e-09,"OAS3/CD274/ZNFX1/DDX60/RSAD2/IFI16/EIF2AK2/PARP9/OASL/GBP5/OAS1/LRCH4/TRIM5/CASP4/HAVCR2/PLSCR1/CLEC4E/IRF7/CREBBP/TLR8/GBP2/CASP1/RPS19/PIK3AP1/AIM2/CLEC7A/IRF1/ZC3HAV1/TLR2/TLR1/WDFY1/EP300/MNDA/USP15/CD300LF/NAIP/P2RX7/TLR6/FFAR2/AKT1/MEFV/KLRD1/STAT5A/TLR3/NMI/NOP53/NLRP3/TRIM25/ZDHHC1/ECSIT/TRAF3IP3/TRIM6/PRF1/USP27X/PYHIN1/NLRC5/IFI35/MIF/RICTOR/TKFC/CD226/IRAK2/UNC93B1/TREML4/CARD8/CCL5/NFKBIZ/MED1/NOD1/EMILIN2/KCNK6/TRIM3/FYN/ABHD17A/APPL2/EPG5/BIRC3/RASGRP4/TNIP1/MAPK14/LYN/TNFAIP3/SPI1/NOD2/PHB2/NLRP1/FPR2/BIRC2",88
"GO:1903900","regulation of viral life cycle","36/1653","115/18860",0.31304347826087,3.57168784029038,8.57368704398316,5.47725599489768e-12,3.15216082506362e-09,2.68789131033821e-09,"IFIT1/OAS3/OAS2/ZNFX1/MX1/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/IFITM3/OAS1/TRIM38/IFITM1/TRIM5/N4BP1/PLSCR1/LAMP3/SLPI/TRIM21/BSG/APOBEC3F/ZC3HAV1/ISG20/PPIA/TRIM25/TRIM6/P4HB/TRIM28/LGALS9/CCL5/PROX1/APOBEC3A/TNIP1/CD4/ISG15",36
