"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05171","Coronavirus disease - COVID-19","99/865","239/9377",0.414225941422594,4.49040075458921,17.4240742492986,1.35162429752987e-41,4.52794139672508e-39,4.0975557651432e-39,"CXCL10/OAS3/OAS2/MX1/RPL13A/EIF2AK2/RPS3A/MX2/RPLP1/RPS8/STAT1/RPL26/OAS1/RPL13/RPS18/RPS28/RPS21/RPLP0/RPL10A/RPS17/C3AR1/RPLP2/RPS15/RPL3/RPL37/CASP1/RPL35/CCL2/RPS19/RPL30/RPL21/RPS5/RPL39/RPL18A/RPL32/RPS7/RPL15/RPS14/RPL36A/RPL4/RPL34/RPL8/RPL9/RPL27/RPL10/RPL31/RPL36/FAU/RPS15A/RPL17/RPL7A/TLR8/RPL7/IRF9/ACE2/RPS27/RPL38/RPL41/RPL37A/RPL23A/RPL18/RPS29/CYBB/RPS2/RPS24/RPS12/RPS13/RPL19/RPL27A/RPL6/JUN/RPS6/STAT2/RPL3L/PIK3R2/RPS9/TLR3/RPS16/TLR2/RPS10/RPSA/RPS20/NLRP3/RPL24/CFD/C1QC/RPL17-C18orf32/C1QB/RPS27A/TMPRSS2/RPL12/UBA52/IFIH1/RPL35A/RPS25/FCGR2A/TLR7/ISG15/C2",99
"hsa03010","Ribosome","81/865","223/9377",0.36322869955157,3.93756707016771,14.1525863784248,2.72434657080163e-29,4.56328050609273e-27,4.12953585468879e-27,"RPL13A/RPS3A/RPLP1/RPS8/RPL26/RPL13/RPS18/RPS28/RPS21/RPLP0/RPL10A/RPS17/RPLP2/RPS15/RPL3/RPL37/RPL35/RPS19/RPL30/RPL21/RPS5/RPL39/RPL18A/RPL32/RPS7/RPL15/RPS14/RPL36A/RPL4/RPL34/RPL8/RPL9/MRPL14/RPL27/RPL10/RPL31/RPL36/FAU/RPS15A/RPL17/RPL7A/RPL7/RPS27/RPL38/RPL41/RPL37A/MRPS31/MRPL23/RPL23A/RPL18/RPS29/RPS2/RPS24/RPS12/RPS13/RPL19/RPL27A/RPL6/MRPL12/RPS6/RPL3L/RPS9/RPS16/RPS10/RPSA/RPS20/RPL24/RACK1/RPL17-C18orf32/MRPL55/MRPS34/RPS27A/MRPS24/RPL12/UBA52/MRPL2/RPL35A/RPS25/MRPS7/MRPL52/MRPL41",81
"hsa04621","NOD-like receptor signaling pathway","39/865","187/9377",0.20855614973262,2.26084510525177,5.55169795564058,8.31355981713027e-07,6.97987685145081e-05,6.31643215465148e-05,"OAS3/GBP1/OAS2/IFI16/GBP4/STAT1/GBP5/OAS1/TXNIP/CASP4/CASP1/CCL2/IRF7/CARD16/P2RX7/GBP2/AIM2/CTSB/CARD6/ATG12/IRF9/CASP5/CYBB/NAIP/JUN/STAT2/ITPR2/ANTXR2/NOD2/NLRP3/NOD1/BIRC3/CARD8/CCL5/TRPV2/CASP8/TANK/MEFV/RNASEL",39
"hsa05164","Influenza A","37/865","173/9377",0.213872832369942,2.31848040362191,5.57968230020557,8.33418131516515e-07,6.97987685145081e-05,6.31643215465148e-05,"CXCL10/OAS3/OAS2/MX1/EIF2AK2/MX2/RSAD2/STAT1/OAS1/PML/CASP1/CCL2/IRF7/CREBBP/TNFSF10/IRF9/SLC25A6/AKT1/EP300/KPNA5/NUP98/STAT2/FASLG/PIK3R2/TLR3/NLRP3/TMPRSS2/TRIM25/JAK2/CCL5/SLC25A5/FAS/IFIH1/CASP8/TRADD/TLR7/RNASEL",37
"hsa05208","Chemical carcinogenesis - reactive oxygen species","43/865","227/9377",0.18942731277533,2.0534796669298,5.12188219020353,3.44467168562699e-06,0.000230793002937009,0.000208855883254858,"NDUFV1/ATP5F1E/NCF2/UQCRQ/GSTA2/GSTA1/BAD/COX4I1/NDUFB10/SLC25A6/UQCR11/AKT1/NDUFB7/NDUFS6/COX6A1/EPHX1/NDUFC1/JUN/NDUFA2/PIK3R2/UQCRC1/UQCRFS1/CBR1/NDUFA13/SOD2/NDUFS5/NDUFA3/HIF1A/MGST1/GSTA3/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2/MAP2K4",43
"hsa04620","Toll-like receptor signaling pathway","26/865","109/9377",0.238532110091743,2.58579837726043,5.3084685791465,4.44015686180907e-06,0.00023183052037283,0.000209794783558131,"CXCL10/CXCL11/CXCL9/STAT1/IRF7/TLR8/TLR1/IRF9/AKT1/CD86/CCL4/JUN/STAT2/PIK3R2/TLR3/TLR2/TLR6/CCL3L3/SPP1/CCL5/CASP8/CCL3/CD80/MAP2K6/MAP2K4/TLR7",26
"hsa04932","Non-alcoholic fatty liver disease","33/865","157/9377",0.210191082802548,2.2785685357682,5.15002602820717,4.84421982868601e-06,0.00023183052037283,0.000209794783558131,"NDUFV1/UQCRQ/COX4I1/NDUFB10/UQCR11/AKT1/NDUFB7/NDUFS6/COX6A1/NDUFC1/JUN/FASLG/NDUFA2/PIK3R2/UQCRC1/UQCRFS1/NDUFA13/INSR/NDUFS5/NDUFA3/SREBF1/CASP7/COX5A/NDUFB2/NDUFA9/NDUFC2/FAS/UQCRHL/COX5B/CASP8/COX8A/UQCRH/COX7A2",33
"hsa00190","Oxidative phosphorylation","30/865","138/9377",0.217391304347826,2.35662226690123,5.11784402999737,6.3998337752411e-06,0.000267993039338221,0.000242520016745978,"NDUFV1/ATP5F1E/UQCRQ/ATP6V1B2/COX4I1/ATP5ME/NDUFB10/UQCR11/NDUFB7/NDUFS6/COX6A1/NDUFC1/NDUFA2/UQCRC1/UQCRFS1/NDUFA13/NDUFS5/ATP5MG/NDUFA3/COX5A/NDUFB2/NDUFA9/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2",30
"hsa05160","Hepatitis C","31/865","156/9377",0.198717948717949,2.15419445679561,4.63397106805504,3.01903628241075e-05,0.00112375239400845,0.0010169385372331,"IFIT1/CXCL10/OAS3/OAS2/MX1/EIF2AK2/MX2/RSAD2/STAT1/OAS1/IRF7/CLDN4/CLDN7/CFLAR/BAD/IRF9/AKT1/CLDN3/STAT2/FASLG/PIK3R2/TLR3/PPP2R1B/CD81/PPP2CB/PIAS1/FAS/CLDN16/CASP8/TRADD/RNASEL",31
"hsa05016","Huntington disease","49/865","308/9377",0.159090909090909,1.7246190225959,4.12198525381904,9.76546418183432e-05,0.00299745092527648,0.0027125400360711,"NDUFV1/ATP5F1E/POLR2L/UQCRQ/TUBB2A/CREBBP/TUBB4B/GRIA4/COX4I1/NDUFB10/SLC25A6/UQCR11/NDUFB7/NDUFS6/EP300/COX6A1/NDUFC1/POLR2I/CREB5/SLC1A3/NDUFA2/UQCRC1/UQCRFS1/DNAI2/NDUFA13/GPX1/POLR2J/IFT57/SOD2/NDUFS5/NDUFA3/TUBA1B/RCOR1/DNALI1/PSMB6/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/UQCRHL/COX5B/CASP8/ATG2A/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2",49
"hsa05162","Measles","27/865","136/9377",0.198529411764706,2.15215062903774,4.31439869517843,9.84237617254964e-05,0.00299745092527648,0.0027125400360711,"OAS3/OAS2/MX1/EIF2AK2/MX2/STAT1/OAS1/IRF7/BAD/IRF9/AKT1/JUN/STAT2/FASLG/IL2RG/PIK3R2/TLR2/STAT5A/RACK1/IL2RA/CCND2/MSN/FAS/IFIH1/CASP8/TRADD/TLR7",27
