"gene","log2FoldChange","padj","baseMean"
"AL022578",25.6087663234045,1.4967947738621e-49,31.6824425084828
"IFIT1",4.94635042174296,3.97985543275731e-26,296.619020718083
"XAF1",3.54912353954843,2.73065917955924e-22,180.261158967645
"CXCL10",6.87851564659552,4.43668558822514e-21,96.933868893295
"DDX58",4.1669699203559,6.44648017372042e-21,100.924932963937
"GBP1",3.92245234386632,9.46429917508678e-21,202.405119372238
"OAS3",3.92955055869749,1.31338775385858e-20,260.505857663349
"IFIT2",4.8440316265248,1.00026983606288e-19,420.814851089254
"IFIT3",4.28609878586915,1.09270149986208e-19,298.144760711938
"SIGLEC1",5.43612783389323,3.36909491158157e-19,16.7735387640528
