"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CXCL11",75.7565642566908,2.61376918669766,0.279990371276857,9.3352109744986,1.00790319148832e-20,1.33789069638159e-16
"CXCL10",217.469903320383,2.07059334402075,0.233923975710605,8.85156529052137,8.63002630733151e-19,5.72774846017592e-15
"IFIT2",612.503734287973,1.30095034795405,0.183192428662618,7.10155085257362,1.2336460100789e-12,5.45847237926242e-09
"IFIT1",498.008609545516,1.10948750102191,0.168041140475521,6.60247542882828,4.04348311052994e-11,1.34182987022936e-07
"KCNJ15",42.8920674865,-1.2951019134313,0.203481992084164,-6.36470038535707,1.95671312944685e-10,5.1946820160555e-07
"HMGB3",13.9030816671318,-1.25779655502762,0.209593514051838,-6.00112346375631,1.95956913419255e-09,4.33522011454533e-06
"LAMP3",38.5297221307802,0.979226836107143,0.164080570885935,5.96796336592393,2.4023328744928e-09,4.55550951085963e-06
"FBXL5",102.348429833266,-0.960053838615499,0.163859271754277,-5.85901443560173,4.65622225812772e-09,6.74369495514805e-06
"NAMPT",656.042039050929,-1.0640592812524,0.182061091755894,-5.84451774396193,5.08037890247706e-09,6.74369495514805e-06
"TMEM170B",10.0242646983131,-1.46725584510678,0.25089506836394,-5.8480856346623,4.97262553916258e-09,6.74369495514805e-06
"MTCO1P12",34.4217835409562,1.07119226732585,0.187717519743508,5.70640539460299,1.15386992469279e-08,1.39240630730655e-05
"ZNF506",35.2572165194274,-0.936013792048615,0.165252080026787,-5.6641574006021,1.47748738824086e-08,1.63434729929243e-05
"ANLN",4.74846921911171,-1.58067590393691,0.282046206269994,-5.60431542349405,2.09079657398539e-08,1.85021558153881e-05
"PELI1",111.32656540229,-0.953597025161091,0.170151686614371,-5.60439360981656,2.0898530806008e-08,1.85021558153881e-05
"TMEM71",18.4599625804062,-1.31900717918089,0.23505474938879,-5.61148916416573,2.0059285117255e-08,1.85021558153881e-05
"SESN3",47.2829732296129,-1.02680416354936,0.18369168206486,-5.58982394851611,2.27299944639855e-08,1.8857371657184e-05
"PTPRC",165.219563719396,-1.03902452300657,0.18708978252281,-5.55361446785522,2.79822278145636e-08,2.18491818829716e-05
"SORL1",152.408878388633,-1.02166298639389,0.184718825632207,-5.53090884427838,3.18575854391345e-08,2.3493199395504e-05
"PCSK5",1082.30088265395,-0.996086979306084,0.180495041998029,-5.51863900680974,3.4163517455065e-08,2.3867712142028e-05
"CPD",123.350746195136,-0.962172318569892,0.175933273369662,-5.46896161335114,4.52679766002119e-08,3.00443560695606e-05
"MMP13",6.09438071032351,1.74164553292985,0.323138920942772,5.38977331436436,7.05466132595614e-08,4.45921783051151e-05
"PDK1",16.4117445869541,-1.2991002600375,0.24356751142875,-5.33363523081166,9.62658101863511e-08,5.80832892915284e-05
"CCL2",8.25218848535168,1.68451245880747,0.316313979131546,5.32544424192813,1.00706605764648e-07,5.81208471704321e-05
"TOP2A",8.36443401875285,-1.38429963762793,0.261770020619449,-5.28822832481788,1.23506753476212e-07,6.83095269018017e-05
"YAF2",16.2741475708934,-1.05036403937789,0.199985277730833,-5.252206818902,1.50287569161888e-07,7.97966877221961e-05
"FRY",14.0475392292057,-1.32676512845065,0.254390590856575,-5.21546462855885,1.8335704782962e-07,8.42555291534194e-05
"GPR82",9.62156558202702,-1.40793258439344,0.269990928656317,-5.2147403299822,1.84074909254871e-07,8.42555291534194e-05
"IVNS1ABP",240.03544044479,-0.894531145311782,0.17116650698549,-5.2260875159859,1.73134435891142e-07,8.42555291534194e-05
"TMEM154",69.2091303760796,-0.968303014839458,0.18553601945258,-5.21894895501378,1.79941342979244e-07,8.42555291534194e-05
"MCTP2",59.8175851970339,-0.952174458152535,0.182862337993167,-5.20705613086995,1.9186007054057e-07,8.48916858785174e-05
"RGL1",43.6932309598604,0.942760837171739,0.184190942867159,5.11838868131355,3.08157032894134e-07,0.000131950853375379
"TNFRSF13C",7.06623577998032,-1.70222557280998,0.33485696580005,-5.08344083194738,3.70658078270227e-07,0.000153753604092469
"AQP9",98.2920668921752,-1.37454730796377,0.270984270798103,-5.07242469799243,3.92778580176968e-07,0.000154829091671695
"ZNF615",9.61298077751634,-1.20053197238025,0.236763643672992,-5.07059256968682,3.96578960135425e-07,0.000154829091671695
"NDUFS1",61.0670895060058,-0.727105467609518,0.144690339820726,-5.02525233205212,5.02771030637046e-07,0.000175625859491478
"RBM41",12.9957807808321,-1.06275682000596,0.21117434782381,-5.0326037748328,4.83862525863397e-07,0.000175625859491478
"RPL36A",38.8423114450479,-0.772628523359452,0.153698714138505,-5.02690297501903,4.98464388306549e-07,0.000175625859491478
"S100A9",105.424484090106,-1.28674344563945,0.255866307028159,-5.02896790353035,4.93126918429692e-07,0.000175625859491478
"CXCL8",250.89421434567,-1.29661095519314,0.259430469144405,-4.99791315749969,5.79540723707188e-07,0.000186310164190832
"DDX58",172.648026405455,0.843175105929632,0.168720561328461,4.99746503503006,5.8088867049966e-07,0.000186310164190832
"IDO1",78.0279113677491,0.985364943295192,0.196929727960091,5.00363735583325,5.62585467121458e-07,0.000186310164190832
"MKI67",23.2393937388516,-1.29055736852885,0.258389213267996,-4.99462555811225,5.89500293507229e-07,0.000186310164190832
"MEGF9",25.9013234375491,-0.968228817303005,0.194190527323602,-4.98597346970242,6.16506045160018e-07,0.000190313982405909
"MAPK13",25.3388217812012,-1.03681855737445,0.208238844101845,-4.97898728667244,6.3917840698413e-07,0.00019249575369828
"MME",12.8601188776209,-1.60949717136149,0.323793368951151,-4.9707539613151,6.66930393043152e-07,0.00019249575369828
